ticker,date,open,high,low,close
OTGA,2025-11-03,10.07,10.07,10.0,10.03
OTGA,2025-11-04,10.04,10.04,10.01,10.03
OTGA,2025-11-05,10.04,10.111,10.036,10.05
OTGA,2025-11-06,10.1,10.1,10.07,10.09
OTGA,2025-11-07,10.07,10.07,10.055,10.06
OTGA,2025-11-10,10.06,10.06,10.04,10.06
OTGA,2025-11-11,10.07,10.07,10.06,10.06
OTGA,2025-11-12,10.04,10.07,10.04,10.05
OTGA,2025-11-13,10.05,10.06,10.045,10.05
OTGA,2025-11-14,10.05,10.05,10.0353,10.04
OTGA,2025-11-17,10.04,10.07,10.0386,10.04
OTGA,2025-11-18,10.0499,10.0499,10.02,10.02
OTGA,2025-11-19,10.05,10.05,10.02,10.04
OTGA,2025-11-20,10.03,10.05,9.9723,10.02
OTGA,2025-11-21,10.08,10.08,10.02,10.03
OTGA,2025-11-24,10.05,10.05,10.025,10.045
OTGA,2025-11-25,10.05,10.05,10.05,10.05
OTGA,2025-11-26,10.05,10.05,10.03,10.04
OTGA,2025-11-28,10.05,10.05,10.05,10.05
